uuid,specific_node,general_node,license_url,attribution,svg_source_url,svg_source_sizes,svg_vector_url,created
cafc2729-0fdf-41f4-be97-505000d76aa8,Tetraceratops insignis,Pantherapsida,https://creativecommons.org/publicdomain/zero/1.0/,Ryan Santos Soledade,https://images.phylopic.org/images/cafc2729-0fdf-41f4-be97-505000d76aa8/source.svg,2680x756,https://images.phylopic.org/images/cafc2729-0fdf-41f4-be97-505000d76aa8/vector.svg,2026-02-01T11:00:10.018Z
2d58c984-f155-4740-ab8a-dde992bbdb29,Gymnetron antirrhini,Curculionidae,https://creativecommons.org/licenses/by/4.0/,"Janat Graham (photograph), T. Michael Keesey (vectorization)",https://images.phylopic.org/images/2d58c984-f155-4740-ab8a-dde992bbdb29/source.svg,2810x1171,https://images.phylopic.org/images/2d58c984-f155-4740-ab8a-dde992bbdb29/vector.svg,2026-02-01T05:05:35.342Z
657e7db9-0bd4-4fb0-8740-b42354f28491,Hypera diversipunctata,Adelognatha,https://creativecommons.org/licenses/by-sa/3.0/,Siga (original photograph),https://images.phylopic.org/images/657e7db9-0bd4-4fb0-8740-b42354f28491/source.svg,1973x1516,https://images.phylopic.org/images/657e7db9-0bd4-4fb0-8740-b42354f28491/vector.svg,2026-02-01T04:56:54.222Z
d426e324-f30a-4886-a762-2f7c3f235e6a,Ctenacanthus concinnus,pan-Neoselachii,https://creativecommons.org/licenses/by/4.0/,Gasmasque,https://images.phylopic.org/images/d426e324-f30a-4886-a762-2f7c3f235e6a/source.svg,200.27296x65.570412,https://images.phylopic.org/images/d426e324-f30a-4886-a762-2f7c3f235e6a/vector.svg,2026-02-01T04:23:10.505Z
0e722648-1700-4abb-9b8f-a48a7a54aee8,Xenacanthus decheni,Xenacanthiformes,https://creativecommons.org/licenses/by-sa/3.0/,Gasmasque,https://images.phylopic.org/images/0e722648-1700-4abb-9b8f-a48a7a54aee8/source.svg,1318.0914x593.4574,https://images.phylopic.org/images/0e722648-1700-4abb-9b8f-a48a7a54aee8/vector.svg,2026-02-01T04:14:15.994Z
b6c5409f-abce-4221-b084-c8ae30157e68,Silurana tropicalis,Pipanura,https://creativecommons.org/publicdomain/zero/1.0/,,https://images.phylopic.org/images/b6c5409f-abce-4221-b084-c8ae30157e68/source.svg,2825x1713,https://images.phylopic.org/images/b6c5409f-abce-4221-b084-c8ae30157e68/vector.svg,2026-01-31T00:42:38.142Z
f852081f-0296-4994-b1f5-285e62929ac6,Fusconaia flava,Unionidae,https://creativecommons.org/licenses/by/4.0/,kussum,https://images.phylopic.org/images/f852081f-0296-4994-b1f5-285e62929ac6/source.svg,369x369,https://images.phylopic.org/images/f852081f-0296-4994-b1f5-285e62929ac6/vector.svg,2026-01-30T06:17:53.721Z
f9684125-698e-4f46-bf7b-8f485b3e5852,Ubysseya fretuma,Diaphoretickes,https://creativecommons.org/licenses/by-sa/3.0/,Chiswick Chap,https://images.phylopic.org/images/f9684125-698e-4f46-bf7b-8f485b3e5852/source.svg,538.7x649.5,https://images.phylopic.org/images/f9684125-698e-4f46-bf7b-8f485b3e5852/vector.svg,2026-01-30T06:16:00.923Z
82abc04c-f633-4e57-ab34-4adcff0be82f,Palpitomonas bilix,Diaphoretickes,https://creativecommons.org/publicdomain/zero/1.0/,Akinori Yabuki (original photograph),https://images.phylopic.org/images/82abc04c-f633-4e57-ab34-4adcff0be82f/source.svg,809.2x594.7,https://images.phylopic.org/images/82abc04c-f633-4e57-ab34-4adcff0be82f/vector.svg,2026-01-30T03:43:41.440Z
df329ba6-7ffb-4066-a03c-6673f7890ff3,Cyprinus carpio,,https://creativecommons.org/publicdomain/mark/1.0/,USFWS,https://images.phylopic.org/images/df329ba6-7ffb-4066-a03c-6673f7890ff3/source.svg,868x359,https://images.phylopic.org/images/df329ba6-7ffb-4066-a03c-6673f7890ff3/vector.svg,2026-01-30T03:25:59.024Z
